id,Player,Pos,Ht,Wt,Birth Date,Birth,College
738,Justise Winslow,PF,6-6,222,"March 26, 1996",us US,Duke
739,Daniel Oturu,C,6-8,240,"September 20, 1999",us US,Minnesota
740,Patrick Patterson,PF,6-8,235,"March 14, 1989",us US,Kentucky
741,Maurice Harkless,PF,6-7,220,"May 11, 1993",us US,St. John's
742,Johnathan Motley,PF,6-8,230,"May 4, 1995",us US,Baylor
743,Joakim Noah,C,6-11,230,"February 25, 1985",us US,Florida
744,Angel Delgado,C,6-10,245,"November 20, 1994",do DO,Seton Hall
745,Shai Gilgeous-Alexander,PG,6-6,200,"July 12, 1998",ca CA,Kentucky
746,Marcin Gortat,C,6-11,240,"February 17, 1984",pl PL,
747,Mike Scott,PF,6-7,237,"July 16, 1988",us US,Virginia
748,Milos Teodosic,PG,6-5,196,"March 19, 1987",rs RS,
749,Sindarius Thornwell,SG,6-4,215,"November 15, 1994",us US,South Carolina
750,Jordan Goodwin,PG,6-3,200,"October 23, 1998",us US,Saint Louis
751,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,Gonzaga
752,Jaxson Hayes,C,7-0,220,"May 23, 2000",us US,Texas
753,Jalen Hood-Schifino,SG,6-6,215,"June 19, 2003",us US,Indiana
754,Bronny James,SG,6-2,210,"October 6, 2004",us US,USC
755,LeBron James,SF,6-9,250,"December 30, 1984",us US,
756,Trey Jemison,C,6-11,260,"November 28, 1999",us US,"Clemson, UAB"
757,Dalton Knecht,SF,6-6,215,"April 19, 2001",us US,"Northeastern Junior College, University of Northern Colorado, Tennessee"
758,Christian Koloko,C,7-1,230,"June 20, 2000",cm CM,Arizona
759,Quincy Olivari,PG,6-3,198,"May 27, 2001",us US,"Rice University, Xavier"
760,Austin Reaves,SG,6-5,206,"May 29, 1998",us US,"Wichita State, Oklahoma"
761,Armel Traore,SF,6-8,215,"January 23, 2003",fr FR,
762,Gabe Vincent,PG,6-3,195,"June 14, 1996",us US,UC Santa Barbara
763,Colin Castleton,C,6-11,250,"May 25, 2000",us US,"Michigan, Florida"
764,D'Moi Hodge,SG,6-4,188,"December 20, 1998",vg VG,"State College of Florida, Manatee-Sarasota, Cleveland State University, Missouri"
765,Kendrick Nunn,SG,6-2,190,"August 3, 1995",us US,"Illinois, Oakland"
766,Scotty Pippen Jr.,PG,6-1,185,"November 10, 2000",us US,Vanderbilt
767,Trevor Ariza,SF,6-8,215,"June 30, 1985",us US,UCLA
768,Dwight Howard,C,6-10,265,"December 8, 1985",us US,
769,Jemerrio Jones,SF,6-5,174,"April 9, 1995",us US,"Hill College, New Mexico State"
770,Devontae Cacok,PF,6-7,240,"October 8, 1996",us US,UNC Wilmington
771,Marc Gasol,C,6-11,255,"January 29, 1985",es ES,
772,Kyle Kuzma,SF,6-9,221,"July 24, 1995",us US,Utah
773,Dion Waiters,SG,6-3,215,"December 10, 1991",us US,Syracuse
774,Michael Beasley,PF,6-9,235,"January 9, 1989",us US,Kansas State
775,Isaac Bonga,PG,6-8,180,"November 8, 1999",de DE,
776,Josh Hart,SG,6-4,215,"March 6, 1995",us US,Villanova
777,Andre Ingram,SG,6-3,190,"November 19, 1985",us US,American University
778,Brandon Ingram,SF,6-8,190,"September 2, 1997",us US,Duke
779,Scott Machado,PG,6-1,205,"June 8, 1990",us US,Iona College
780,Johnathan Williams,C,6-9,228,"May 22, 1995",us US,"Missouri, Gonzaga"
781,Santi Aldama,PF,6-11,224,"January 10, 2001",es ES,Loyola (MD)
782,Desmond Bane,SG,6-5,215,"June 25, 1998",us US,TCU
783,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca CA,"San Jose State, Gonzaga"
784,Zach Edey,C,7-4,305,"May 14, 2002",ca CA,Purdue
785,GG Jackson II,PF,6-9,215,"December 17, 2004",us US,South Carolina
786,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us US,Michigan State
787,Yuki Kawamura,PG,5-8,159,"May 2, 2001",jp JP,
788,John Konchar,SG,6-5,210,"March 22, 1996",us US,Purdue-Fort Wayne
789,Jake LaRavia,PF,6-8,235,"November 3, 2001",us US,"Indiana State University, Wake Forest"
790,Ja Morant,PG,6-2,174,"August 10, 1999",us US,Murray State
791,Zyon Pullin,SG,6-4,206,"March 3, 2001",us US,"University of California, Riverside, Florida"
792,Cam Spencer,SG,6-3,205,"April 6, 2000",us US,"Loyola (MD), Rutgers University, UConn"
793,Jaylen Wells,SG,6-7,206,"August 26, 2003",us US,"Sonoma State University, Washington State"
794,Vince Williams Jr.,SG,6-4,205,"August 30, 2000",us US,VCU
795,Timmy Allen,SF,6-6,210,"January 9, 2000",us US,"Utah, Texas"
796,Matthew Hurt,PF,6-9,235,"April 20, 2000",us US,Duke
797,Kenneth Lofton Jr.,PF,6-7,275,"August 14, 2002",us US,Louisiana Tech
798,Maozinha Pereira,SF,6-8,177,"August 28, 2000",br BR,
799,Zavier Simpson,PG,6-0,190,"February 11, 1997",us US,Michigan
800,Kennedy Chandler,PG,6-0,171,"September 16, 2002",us US,Tennessee
801,Tyus Jones,PG,6-1,196,"May 10, 1996",us US,Duke
802,Shaq Buchanan,SG,6-3,190,"January 30, 1997",us US,"Northeast Mississippi Community College, Murray State"
803,Dakota Mathias,SG,6-4,200,"July 11, 1995",us US,Purdue
804,Yves Pons,SF,6-6,215,"May 7, 1999",ht HT,Tennessee
805,Jon Teske,C,7-1,265,"May 4, 1997",us US,Michigan
806,Killian Tillie,C,6-9,220,"March 5, 1998",fr FR,Gonzaga
807,Grayson Allen,SG,6-4,198,"October 8, 1995",us US,Duke
808,Sean McDermott,SF,6-6,195,"November 3, 1996",us US,Butler
809,Jontay Porter,PF,6-11,240,"November 15, 1999",us US,Missouri
810,Jonas Valanciunas,C,6-11,265,"May 6, 1992",lt LT,
811,Jae Crowder,SF,6-6,235,"July 6, 1990",us US,Marquette
812,Marko Guduric,SG,6-6,201,"March 8, 1995",rs RS,
813,Dusty Hannahs,SG,6-3,210,"September 2, 1993",us US,"Texas Tech, Arkansas"
814,Anthony Tolliver,PF,6-8,240,"June 1, 1985",us US,Creighton
815,Jarrod Uthoff,PF,6-9,221,"May 19, 1993",us US,Iowa
816,MarShon Brooks,SG,6-5,200,"January 26, 1989",us US,Providence
817,Omri Casspi,SF,6-9,225,"June 22, 1988",il IL,
818,Mike Conley,PG,6-0,175,"October 11, 1987",us US,Ohio State
819,Ivan Rabb,PF,6-10,220,"February 4, 1997",us US,California
820,D.J. Stephens,SG,6-5,188,"December 19, 1990",us US,Memphis
821,Julian Washburn,SF,6-8,210,"December 18, 1991",us US,Texas-El Paso
822,Bam Adebayo,C,6-9,255,"July 18, 1997",us US,Kentucky
823,Tyler Herro,SG,6-5,195,"January 20, 2000",us US,Kentucky
824,Haywood Highsmith,SF,6-7,220,"December 9, 1996",us US,Wheeling University
825,Jaime Jaquez Jr.,SF,6-6,225,"February 18, 2001",us US,UCLA
826,Keshad Johnson,SF,6-6,225,"June 23, 2001",us US,"San Diego State, Arizona"
827,Nikola Jovic,PF,6-10,209,"June 9, 2003",gb GB,
828,Pelle Larsson,SG,6-5,215,"February 23, 2001",se SE,"Utah, Arizona"
829,Davion Mitchell,PG,6-2,205,"September 5, 1998",us US,"Auburn, Baylor"
830,Duncan Robinson,SF,6-7,215,"April 22, 1994",us US,"Williams, Michigan"
831,Isaiah Stevens,PG,6-0,185,"November 1, 2000",us US,Colorado State
832,Kel'el Ware,C,7-0,230,"April 20, 2004",us US,"Oregon, Indiana"
833,Jamal Cain,PF,6-7,191,"March 20, 1999",us US,"Marquette, Oakland"
834,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,Villanova
835,Orlando Robinson,C,7-0,235,"July 10, 2000",us US,Fresno State
836,Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us US,San Francisco
837,Udonis Haslem,C,6-8,235,"June 9, 1980",us US,Florida
838,Omer Yurtseven,C,7-0,264,"June 19, 1998",tr TR,"NC State, Georgetown"
839,Kyle Guy,SG,6-1,167,"August 11, 1997",us US,Virginia
840,KZ Okpala,PF,6-8,215,"April 28, 1999",us US,Stanford
841,Javonte Smart,PG,6-4,205,"June 3, 1999",us US,LSU
842,Precious Achiuwa,PF,6-8,225,"September 19, 1999",ng NG,Memphis
843,Meyers Leonard,C,7-0,260,"February 27, 1992",us US,Illinois
844,Kyle Alexander,C,6-11,220,"October 21, 1996",ca CA,Tennessee
845,Yante Maten,PF,6-8,240,"August 14, 1996",us US,Georgia
846,Emanuel Terry,PF,6-9,220,"August 21, 1996",us US,Lincoln Memorial
847,Dwyane Wade,SG,6-4,220,"January 17, 1982",us US,Marquette
848,Hassan Whiteside,C,7-0,265,"June 13, 1989",us US,Marshall
849,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,
850,Pat Connaughton,SG,6-5,209,"January 6, 1993",us US,Notre Dame
851,A.J. Green,SG,6-4,200,"September 27, 1999",us US,University of Northern Iowa
852,Andre Jackson Jr.,SG,6-6,210,"November 13, 2001",us US,UConn
853,AJ Johnson,SG,6-4,160,"December 1, 2004",us US,
854,Damian Lillard,PG,6-2,195,"July 15, 1990",us US,Weber State
855,Chris Livingston,SF,6-6,220,"October 15, 2003",us US,Kentucky
856,Brook Lopez,C,7-1,282,"April 1, 1988",us US,Stanford
857,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,Texas A&M
858,Liam Robbins,C,7-0,250,"July 12, 1999",us US,"Drake University, Minnesota, Vanderbilt"
859,Jericho Sims,C,6-10,245,"October 20, 1998",us US,Texas
860,Tyler Smith,PF,6-11,224,"November 2, 2004",us US,
861,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us US,Duke
862,Thanasis Antetokounmpo,PF,6-7,219,"July 18, 1992",gr GR,
863,Lindell Wigginton,PG,6-2,189,"March 28, 1998",ca CA,Iowa State
864,Joe Ingles,SF,6-8,220,"October 2, 1987",au AU,
865,Sandro Mamukelashvili,C,6-11,240,"May 23, 1999",us US,Seton Hall
866,Javin DeLaurier,C,6-10,237,"April 7, 1998",us US,Duke
867,Georgios Kalaitzakis,SF,6-8,192,"January 2, 1999",gr GR,
868,Luca Vildoza,PG,6-3,190,"August 11, 1995",ar AR,
869,Elijah Bryant,SG,6-5,210,"April 19, 1995",us US,"Elon University, BYU"
870,Axel Toupane,SF,6-7,197,"July 23, 1992",fr FR,
871,Ersan Ilyasova,PF,6-9,235,"May 15, 1987",tr TR,
872,Frank Mason III,PG,5-11,190,"April 3, 1994",us US,Kansas
873,Isaiah Canaan,PG,6-0,201,"May 21, 1991",us US,Murray State
874,Bonzie Colson,SF,6-6,224,"January 12, 1996",us US,Notre Dame
875,Trevon Duval,PG,6-2,189,"August 3, 1998",us US,Duke
876,Pau Gasol,C,7-0,250,"July 6, 1980",es ES,
877,Nikola Mirotic,PF,6-10,250,"February 11, 1991",me ME,
878,Jaylen Morris,SG,6-5,185,"September 19, 1995",us US,Molloy
879,Jason Smith,PF,7-0,240,"March 2, 1986",us US,Colorado State
880,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,Virginia Tech
881,Jaylen Clark,SG,6-5,205,"October 13, 2001",us US,UCLA
882,Rob Dillingham,PG,6-1,176,"January 4, 2005",us US,Kentucky
883,Anthony Edwards,SG,6-4,225,"August 5, 2001",us US,Georgia
884,Jesse Edwards,C,6-11,230,"March 18, 2000",nl NL,"West Virginia, Syracuse"
885,Rudy Gobert,C,7-1,258,"June 26, 1992",fr FR,
886,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us US,Washington
887,Leonard Miller,SF,6-10,210,"November 26, 2003",ca CA,
888,Josh Minott,SF,6-8,205,"November 25, 2002",us US,Memphis
889,Julius Randle,PF,6-9,250,"November 29, 1994",us US,Kentucky
890,Naz Reid,C,6-9,264,"August 26, 1999",us US,LSU
891,Terrence Shannon Jr.,SG,6-6,215,"July 30, 2000",us US,"Texas Tech, Illinois"
892,Jordan McLaughlin,PG,6-0,185,"April 9, 1996",us US,USC
893,Karl-Anthony Towns,PF,7-0,248,"November 15, 1995",us US,Kentucky
894,Leandro Bolmaro,SF,6-6,200,"September 11, 2000",ar AR,
895,Jake Layman,SF,6-8,209,"March 7, 1994",us US,Maryland
896,Ashton Hagans,PG,6-3,190,"July 8, 1999",us US,Kentucky
897,Jerryd Bayless,PG,6-3,200,"August 20, 1988",us US,Arizona
898,Luol Deng,SF,6-9,237,"April 16, 1985",ss SS,Duke
899,Jared Terrell,SG,6-3,227,"February 10, 1995",us US,Rhode Island
900,C.J. Williams,SG,6-5,226,"February 6, 1990",us US,NC State
901,Jose Alvarado,PG,6-0,179,"April 12, 1998",us US,Georgia Tech
902,Keion Brooks Jr.,SF,6-7,210,"August 7, 2000",us US,"Kentucky, Washington"
903,Jordan Hawkins,SG,6-5,195,"April 29, 2002",us US,UConn
904,Herbert Jones,SF,6-8,210,"October 6, 1998",us US,Alabama
905,Karlo Matkovic,PF,6-11,231,"March 30, 2001",ba BA,
906,CJ McCollum,PG,6-3,190,"September 19, 1991",us US,Lehigh
907,Yves Missi,C,6-11,235,"May 14, 2004",be BE,Baylor
908,Trey Murphy III,SF,6-8,206,"June 18, 2000",us US,"Rice University, Virginia"
909,Antonio Reeves,SG,6-5,205,"November 20, 2000",us US,"Illinois State, Kentucky"
910,Jeremiah Robinson-Earl,PF,6-9,230,"November 3, 2000",us US,Villanova
911,Zion Williamson,PF,6-6,284,"July 6, 2000",us US,Duke
912,Izaiah Brockington,PG,6-4,200,"July 12, 1999",us US,"St. Bonaventure, Penn State, Iowa State"
913,Jalen Crutcher,PG,6-2,175,"July 18, 1999",us US,Dayton
914,Kaiser Gates,SF,6-8,217,"November 8, 1996",us US,Xavier
915,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us US,Alabama
916,Dereon Seabron,SG,6-7,180,"May 26, 2000",us US,NC State
917,Jared Harper,PG,5-10,175,"September 14, 1997",us US,Auburn
918,Didi Louzada,SF,6-5,188,"February 7, 1999",br BR,
919,Will Magnay,C,6-10,234,"June 10, 1998",au AU,Tulsa
920,Zylan Cheatham,PF,6-5,220,"November 17, 1995",us US,"San Diego State, Arizona State"
921,Derrick Favors,C,6-9,265,"July 15, 1991",us US,Georgia Tech
922,Josh Gray,PG,6-0,180,"September 9, 1993",us US,LSU
923,E'Twaun Moore,SG,6-3,191,"February 25, 1989",us US,Purdue
924,Kenrich Williams,PF,6-7,210,"December 2, 1994",us US,TCU
925,Dairis Bertans,SG,6-4,200,"September 9, 1989",lv LV,
926,Ian Clark,SG,6-3,175,"March 7, 1991",us US,Belmont
927,Wesley Johnson,SF,6-7,215,"July 11, 1987",us US,"Iowa State, Syracuse"
928,Darius Miller,SF,6-6,225,"March 21, 1990",us US,Kentucky
929,OG Anunoby,PF,6-7,232,"July 17, 1997",gb GB,Indiana
930,Pacome Dadiet,SG,6-7,210,"July 27, 2005",fr FR,
931,Ariel Hukporti,C,7-0,246,"April 11, 2002",de DE,
932,Tyler Kolek,PG,6-1,195,"March 27, 2001",us US,"George Mason, Marquette"
933,Miles McBride,PG,6-2,200,"September 8, 2000",us US,West Virginia
934,Kevin McCullar Jr.,SF,6-6,210,"March 15, 2001",us US,"Texas Tech, Kansas"
935,Mitchell Robinson,C,7-0,240,"April 1, 1998",us US,Western Kentucky
936,Anton Watson,SF,6-8,225,"October 6, 2000",us US,Gonzaga
937,RJ Barrett,SG,6-6,214,"June 14, 2000",ca CA,Duke
938,Immanuel Quickley,SG,6-3,190,"June 17, 1999",us US,Kentucky
939,Dmytro Skapintsev,C,7-1,260,"May 12, 1998",ua UA,Cal State Northridge
940,Trevor Keels,SG,6-5,221,"August 26, 2003",us US,Duke
941,Tyler Hall,SG,6-5,209,"March 25, 1997",us US,Montana State
942,Feron Hunt,SF,6-8,195,"July 5, 1999",us US,SMU
943,Ignas Brazdeikis,SF,6-6,221,"January 8, 1999",lt LT,Michigan
944,Kadeem Allen,PG,6-1,200,"January 15, 1993",us US,Arizona
945,Allonzo Trier,SG,6-4,200,"January 17, 1996",us US,Arizona
946,Ron Baker,SG,6-4,220,"March 30, 1993",us US,Wichita State
947,Billy Garrett,SG,6-6,213,"October 16, 1994",us US,DePaul
948,Mario Hezonja,SF,6-8,220,"February 25, 1995",hr HR,
949,Isaiah Hicks,PF,6-9,230,"July 24, 1994",us US,UNC
950,John Jenkins,SG,6-4,215,"March 6, 1991",us US,Vanderbilt
951,Emmanuel Mudiay,PG,6-3,200,"March 5, 1996",cd CD,
952,Branden Carlson,C,7-0,220,"June 14, 1999",us US,Utah
953,Ousmane Dieng,C,6-10,222,"May 21, 2003",fr FR,
954,Luguentz Dort,SF,6-4,220,"April 19, 1999",ca CA,Arizona State
955,Alex Ducas,SG,6-6,222,"December 11, 2000",au AU,Saint Mary's
956,Adam Flagler,SG,6-3,195,"December 1, 1999",us US,"Presbyterian College, Baylor"
957,Chet Holmgren,C,7-1,213,"May 1, 2002",us US,Gonzaga
958,Isaiah Joe,SG,6-5,181,"July 2, 1999",us US,Arkansas
959,Dillon Jones,SF,6-5,240,"October 29, 2001",us US,Weber State
960,Malevy Leons,SF,6-9,205,"September 23, 1999",nl NL,"Mineral Area College, Bradley"
961,Ajay Mitchell,SG,6-5,200,"June 25, 2002",be BE,UC Santa Barbara
962,Alex Reese,PF,6-9,245,"May 21, 1999",us US,Alabama
963,Cason Wallace,SG,6-4,205,"November 7, 2003",us US,Kentucky
964,Aaron Wiggins,SG,6-6,200,"January 2, 1999",us US,Maryland
965,Jalen Williams,SG,6-6,220,"April 14, 2001",us US,Santa Clara
966,Jaylin Williams,PF,6-8,250,"June 29, 2002",us US,Arkansas
967,Keyontae Johnson,SF,6-5,230,"May 24, 2000",us US,"Florida, Kansas State"
968,Olivier Sarr,C,7-0,237,"February 20, 1999",fr FR,"Wake Forest, Kentucky"
969,Darius Bazley,C,6-8,208,"June 12, 2000",us US,
970,Jared Butler,PG,6-3,195,"August 25, 2000",us US,Baylor
971,Gabriel Deck,PF,6-8,232,"February 8, 1995",ar AR,
972,Rob Edwards,SG,6-5,205,"January 20, 1997",us US,"Cleveland State University, Arizona State"
973,Melvin Frazier,SG,6-5,215,"August 30, 1996",us US,Tulane
974,Jaylen Hoard,SF,6-8,216,"March 30, 1999",fr FR,Wake Forest
975,Scotty Hopson,SG,6-7,204,"August 8, 1989",us US,Tennessee
976,Isaiah Roby,PF,6-8,230,"February 3, 1998",us US,Nebraska
977,Josh Hall,SF,6-9,190,"October 8, 2000",us US,
978,Deonte Burton,SF,6-4,240,"January 31, 1994",us US,"Marquette, Iowa State"
979,Terrance Ferguson,SF,6-6,190,"May 17, 1998",us US,
980,Devon Hall,PG,6-2,215,"July 7, 1995",us US,Virginia
981,Kevin Hervey,PF,6-9,230,"July 9, 1996",us US,UT Arlington
982,Abdel Nader,SF,6-5,225,"September 25, 1993",eg EG,"Northern Illinois, Iowa State"
983,Alex Abrines,SG,6-6,200,"August 1, 1993",es ES,
984,Tyler Davis,C,6-10,266,"May 22, 1997",us US,Texas A&M
985,Jawun Evans,PG,6-0,185,"July 26, 1996",us US,Oklahoma State
986,Raymond Felton,PG,6-1,205,"June 26, 1984",us US,UNC
987,Donte Grantham,SF,6-8,215,"March 19, 1995",us US,Clemson
988,Cole Anthony,PG,6-2,185,"May 15, 2000",us US,UNC
989,Paolo Banchero,PF,6-10,250,"November 12, 2002",us US,Duke
990,Anthony Black,PG,6-7,198,"January 20, 2004",us US,Arkansas
991,Tristan Da Silva,SF,6-8,217,"May 15, 2001",de DE,Colorado
992,Caleb Houstan,SF,6-8,205,"January 9, 2003",ca CA,Michigan
993,Jett Howard,SF,6-8,215,"September 14, 2003",us US,Michigan
994,Jonathan Isaac,PF,6-10,230,"October 3, 1997",us US,Florida State
995,Jalen Suggs,PG,6-5,205,"June 3, 2001",us US,Gonzaga
996,Franz Wagner,SF,6-10,225,"August 27, 2001",de DE,Michigan
997,Markelle Fultz,PG,6-4,209,"May 29, 1998",us US,Washington
998,Kevon Harris,SG,6-5,216,"June 24, 1997",us US,Stephen F. Austin
999,Admiral Schofield,PF,6-5,241,"March 30, 1997",gb GB,Tennessee
1000,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,Washington
1001,Devin Cannady,PG,6-2,183,"May 21, 1996",us US,Princeton
1002,Aleem Ford,SF,6-8,220,"December 22, 1997",us US,Wisconsin
1003,Freddie Gillespie,PF,6-9,245,"June 14, 1997",us US,"Carleton College, Baylor"
1004,Hassani Gravett,PG,6-2,188,"July 16, 1996",us US,"Pensacola State, South Carolina"
1005,Khem Birch,C,6-9,233,"September 28, 1992",ca CA,"Pitt, UNLV"
1006,Robert Franks,PF,6-7,225,"December 18, 1996",us US,Washington State
1007,Karim Mane,PG,6-3,190,"May 16, 2000",sn SN,Vanier College
1008,Amile Jefferson,PF,6-9,222,"May 7, 1993",us US,Duke
1009,Vic Law,PF,6-7,200,"December 19, 1995",us US,Northwestern
1010,Josh Magette,PG,6-1,160,"November 28, 1989",us US,Alabama-Huntsville
1011,Isaiah Briscoe,PG,6-3,215,"April 13, 1996",us US,Kentucky
1012,Troy Caupain,PG,6-4,210,"November 29, 1995",us US,Cincinnati
1013,Jerian Grant,PG,6-4,205,"October 9, 1992",us US,Notre Dame
1014,Jarell Martin,PF,6-10,239,"May 24, 1994",us US,LSU
1015,Jonathon Simmons,SG,6-6,195,"September 14, 1989",us US,Houston
1016,Marcus Bagley,SF,6-8,215,"October 23, 2001",us US,Arizona State
1017,Adem Bona,C,6-10,235,"March 28, 2003",ng NG,UCLA
1018,Ricky Council IV,SF,6-6,205,"August 3, 2001",us US,"Wichita State, Arkansas"
1019,Justin Edwards,SF,6-6,203,"December 16, 2003",us US,Kentucky
1020,Joel Embiid,C,7-0,280,"March 16, 1994",cm CM,Kansas
1021,Tyrese Maxey,PG,6-2,200,"November 4, 2000",us US,Kentucky
1022,Jared McCain,SG,6-2,195,"February 20, 2004",us US,Duke
1023,Phillip Wheeler,PF,6-9,211,"April 23, 2002",us US,
1024,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",tr TR,
1025,Filip Petrusev,C,6-11,234,"April 15, 2000",rs RS,Gonzaga
1026,Terquavion Smith,PG,6-4,165,"December 31, 2002",us US,NC State
1027,Julian Champagnie,SF,6-8,220,"June 29, 2001",us US,St. John's
1028,Michael Foster Jr.,PF,6-8,250,"January 16, 2003",us US,
1029,Matisse Thybulle,SF,6-5,201,"March 4, 1997",us US,Washington
1030,Charles Bassey,C,6-10,235,"October 28, 2000",ng NG,Western Kentucky
1031,Aaron Henry,SF,6-6,210,"August 30, 1999",us US,Michigan State
1032,Myles Powell,PG,6-2,195,"July 7, 1997",us US,Seton Hall
1033,Jonah Bolden,C,6-8,220,"January 2, 1996",au AU,UCLA
1034,Marial Shayok,SG,6-5,198,"July 26, 1995",ca CA,"Virginia, Iowa State"
1035,Zhaire Smith,SF,6-3,205,"June 4, 1999",us US,Texas Tech
1036,Corey Brewer,SF,6-9,186,"March 5, 1986",us US,Florida
1037,Demetrius Jackson,PG,6-1,201,"September 7, 1994",us US,Notre Dame
1038,Amir Johnson,C,6-9,240,"May 1, 1987",us US,
1039,Bradley Beal,SG,6-4,207,"June 28, 1993",us US,Florida
1040,Devin Booker,SG,6-6,206,"October 30, 1996",us US,Kentucky
1041,Jalen Bridges,SF,6-8,225,"May 14, 2001",us US,"West Virginia, Baylor"
1042,Ryan Dunn,SF,6-6,216,"January 7, 2003",us US,Virginia
1043,Oso Ighodaro,PF,6-10,235,"July 14, 2002",us US,Marquette
1044,Udoka Azubuike,C,6-10,280,"September 17, 1999",ng NG,Kansas
1045,Nassir Little,SF,6-5,220,"February 11, 2000",us US,UNC
1046,Ish Wainright,SF,6-6,250,"September 12, 1994",us US,Baylor
1047,Deandre Ayton,C,7-0,250,"July 23, 1998",bs BS,Arizona
1048,Paris Bass,SF,6-8,200,"August 29, 1995",us US,Detroit Mercy
1049,Gabriel Lundberg,SG,6-4,203,"December 4, 1994",dk DK,
1050,M.J. Walker,SG,6-5,213,"March 28, 1998",us US,Florida State
1051,Ty-Shon Alexander,SG,6-3,195,"July 16, 1998",us US,Creighton
1052,Elie Okobo,PG,6-3,190,"October 23, 1997",fr FR,
1053,Tariq Owens,PF,6-10,205,"June 30, 1995",us US,"Tennessee, St. John's, Texas Tech"
1054,Quincy Acy,PF,6-7,240,"October 6, 1990",us US,Baylor
1055,Jimmer Fredette,SG,6-2,195,"February 25, 1989",us US,BYU
1056,Eric Moreland,PF,6-10,238,"December 24, 1991",us US,Oregon State
1057,Deni Avdija,SF,6-9,210,"January 3, 2001",il IL,
1058,Toumani Camara,PF,6-8,220,"May 8, 2000",be BE,Dayton
1059,Sidy Cissoko,SF,6-8,200,"April 2, 2004",fr FR,
1060,Donovan Clingan,C,7-2,280,"February 23, 2004",us US,UConn
1061,Scoot Henderson,PG,6-3,202,"February 3, 2004",us US,
1062,Justin Minaya,SF,6-5,210,"March 26, 1999",us US,
1063,Taze Moore,SG,6-5,195,"June 29, 1998",us US,"Cal State-Bakersfield, Houston"
1064,Kris Murray,SF,6-8,220,"August 19, 2000",us US,Iowa
1065,Duop Reath,C,6-11,245,"June 26, 1996",ss SS,"Lee College, LSU"
1066,Rayan Rupert,SG,6-6,205,"May 31, 2004",fr FR,
1067,Shaedon Sharpe,SG,6-6,200,"May 30, 2003",ca CA,Kentucky
1068,Anfernee Simons,SG,6-3,181,"June 8, 1999",us US,
1069,Jabari Walker,SF,6-9,215,"July 30, 2002",us US,Colorado
1070,Ibou Badji,C,7-1,240,"October 13, 2002",sn SN,
1071,John Butler,C,7-0,175,"December 4, 2002",us US,Florida State
1072,Chance Comanche,C,6-10,210,"April 14, 1996",us US,Arizona
1073,Keljin Blevins,SF,6-4,200,"November 24, 1995",us US,"Southern Miss, Montana State"
1074,Jarron Cumberland,SG,6-5,205,"September 22, 1997",us US,Cincinnati
1075,CJ Elleby,SF,6-6,200,"June 16, 2000",us US,Washington State
1076,Elijah Hughes,SG,6-5,215,"March 10, 1998",us US,"Syracuse, East Carolina University"
1077,Cameron McGriff,SF,6-7,230,"September 30, 1997",us US,Oklahoma State
1078,Skal Labissiere,C,6-10,235,"March 18, 1996",ht HT,Kentucky
1079,Caleb Swanigan,PF,6-9,260,"April 18, 1997",us US,Purdue
1080,Wade Baldwin,PG,6-4,200,"March 29, 1996",us US,Vanderbilt
1081,Devin Carter,PG,6-2,195,"March 18, 2002",us US,"South Carolina, Providence"
1082,Isaiah Crawford,SF,6-6,220,"November 1, 2001",us US,Louisiana Tech
1083,Terence Davis,SG,6-4,201,"May 16, 1997",us US,Ole Miss
1084,Keon Ellis,SG,6-6,175,"January 8, 2000",us US,"Florida SouthWestern State College, Alabama"
1085,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us US,Kentucky
1086,Colby Jones,SG,6-6,205,"May 28, 2002",us US,Xavier
1087,Isaac Jones,PF,6-8,245,"July 11, 2000",us US,"Wenatchee Valley College, Idaho, Washington State"
1088,Keegan Murray,PF,6-8,215,"August 19, 2000",us US,Iowa
1089,Jordan Ford,PG,6-1,175,"May 26, 1998",us US,Saint Mary's
1090,Jalen Slawson,SF,6-7,215,"October 22, 1999",us US,Furman University
1091,Sasha Vezenkov,PF,6-9,225,"August 6, 1995",cy CY,
1092,Chima Moneke,SF,6-6,222,"December 24, 1995",ng NG,"Northeast Community College, UC-Davis"
1093,Ade Murkey,SG,6-5,200,"January 29, 1998",us US,Denver
1094,Jahmi'us Ramsey,SG,6-3,190,"June 9, 2001",us US,Texas Tech
1095,Robert Woodard II,SF,6-6,235,"September 22, 1999",us US,Mississippi State
1096,Justin James,SF,6-7,190,"January 24, 1997",us US,Wyoming
